1001 9924
589 923
0 22 38
0 23 41
0 48 44
0 168 6
0 190 46
0 222 1
0 387 16
0 553 3
1 77 25
1 89 23
1 296 43
1 424 27
1 464 48
1 479 42
1 480 49
1 489 40
1 496 36
1 645 49
1 769 32
1 797 9
1 850 31
1 897 47
1 908 32
1 935 38
2 209 7
2 228 37
2 291 4
2 643 14
2 648 38
2 773 6
2 787 9
2 822 2
2 846 37
2 884 17
3 71 29
3 85 49
3 118 37
3 223 48
3 289 9
3 295 24
3 314 22
3 347 20
3 445 31
3 448 38
3 525 49
3 590 34
3 856 28
4 493 19
4 554 17
4 560 16
4 659 5
4 826 49
4 987 35
5 25 7
5 68 27
5 196 42
5 474 1
5 574 12
5 757 44
5 778 38
5 795 27
5 883 26
5 941 50
6 22 22
6 171 40
6 189 46
6 221 21
6 420 32
6 468 2
6 803 20
6 885 37
6 979 18
7 20 30
7 54 43
7 56 30
7 410 3
7 664 9
7 726 16
7 770 22
7 789 50
7 794 22
8 39 16
8 139 12
8 270 19
8 464 7
8 466 40
8 468 7
8 500 26
8 544 40
8 617 49
8 620 33
8 632 1
8 680 30
8 689 35
8 692 33
8 730 26
8 751 45
8 753 32
8 817 6
9 8 18
9 290 45
9 376 44
9 435 5
9 439 45
9 685 11
9 694 40
10 311 30
10 404 46
10 452 0
10 586 44
10 901 41
10 971 4
11 16 26
11 153 7
11 305 0
11 363 31
11 463 26
11 646 35
11 673 13
12 73 14
12 93 15
12 128 12
12 173 40
12 190 30
12 223 34
12 349 43
12 523 35
12 631 37
12 644 34
12 672 8
12 703 7
12 779 40
12 840 30
12 909 1
12 911 3
12 998 25
13 37 14
13 43 11
13 217 14
13 287 40
13 304 50
13 581 40
13 660 30
13 702 14
13 809 14
14 248 5
14 332 37
14 426 14
14 431 50
14 645 25
15 53 40
15 77 25
15 78 24
15 84 20
15 342 17
15 372 40
15 456 19
15 476 26
15 480 32
15 512 14
15 535 35
15 847 45
15 849 19
16 15 20
16 116 10
16 124 3
16 179 33
16 181 34
16 210 29
16 214 24
16 337 33
16 570 35
16 727 28
16 895 31
16 949 46
17 36 38
17 173 21
17 309 16
17 379 43
17 581 10
17 663 37
17 687 13
17 711 22
17 830 38
18 253 30
18 309 24
18 646 0
19 107 43
19 143 38
19 147 11
19 181 24
19 233 38
19 433 18
19 575 46
19 706 19
19 711 43
19 741 10
19 804 28
19 872 39
19 915 33
20 24 35
20 31 6
20 33 39
20 184 8
20 236 44
20 256 43
20 279 25
20 625 39
20 703 23
20 724 39
20 864 49
20 935 17
20 987 43
21 84 44
21 282 32
21 382 46
21 722 18
21 795 40
21 932 40
22 143 31
22 229 41
22 409 27
22 639 42
22 932 26
22 964 45
23 80 17
23 139 6
23 259 49
23 306 18
23 323 3
23 395 49
23 410 17
23 454 22
23 461 25
23 560 8
23 627 22
23 634 10
23 801 26
23 831 17
23 942 1
24 81 12
24 107 21
24 163 14
24 194 35
24 218 19
24 276 36
24 622 19
24 822 28
24 843 45
24 846 1
24 852 17
25 262 6
25 450 3
25 681 13
25 784 44
26 74 7
26 356 35
26 649 28
26 658 41
26 725 26
26 812 3
26 814 49
27 25 17
27 122 11
27 274 29
27 276 13
27 301 18
27 345 23
27 353 45
27 408 48
27 534 44
27 588 6
27 657 42
27 711 14
27 846 2
27 863 39
28 118 26
28 168 48
28 180 39
28 257 37
28 453 16
28 614 23
28 619 39
28 668 36
28 769 35
29 88 29
29 133 7
29 169 14
29 415 22
29 526 1
29 694 28
29 813 29
29 830 26
29 846 21
29 863 10
30 66 18
30 76 5
30 90 34
30 123 49
30 303 2
30 553 14
30 653 17
30 676 50
30 686 8
30 724 33
30 877 38
30 939 1
30 943 36
31 95 43
31 299 39
31 306 42
31 359 1
31 471 44
31 634 16
31 716 26
31 725 4
31 763 7
31 809 32
31 904 20
32 104 16
32 116 26
32 244 9
32 340 37
32 363 4
32 448 27
32 482 20
32 490 19
32 496 16
32 602 23
32 632 35
32 685 21
32 733 33
32 886 5
33 117 7
33 364 4
33 387 35
33 469 16
33 578 15
33 610 46
33 620 27
33 735 0
33 748 30
33 759 48
34 11 42
34 64 31
34 123 50
34 172 23
34 218 35
34 250 37
34 454 27
34 478 15
34 514 2
34 572 10
34 643 33
34 655 3
34 712 42
34 837 43
35 78 1
35 211 20
35 423 24
35 514 5
35 600 14
35 619 48
35 664 38
35 689 22
35 853 26
35 872 34
35 896 20
35 997 11
36 51 5
36 107 41
36 320 5
36 427 46
36 465 45
36 468 28
36 532 29
36 754 3
36 876 36
37 87 36
37 100 28
37 168 9
37 288 36
37 352 17
37 735 12
37 887 19
37 929 42
38 60 39
38 250 34
38 740 9
38 762 46
38 864 6
38 992 18
39 14 39
39 110 42
39 151 17
39 181 7
39 286 45
39 292 44
39 384 26
39 436 40
39 547 46
39 696 38
39 725 25
39 749 45
39 939 6
40 163 38
40 434 3
40 491 8
40 597 44
40 681 2
40 709 40
40 813 20
40 895 41
40 935 32
40 955 40
40 965 43
41 150 11
41 155 44
41 219 3
41 330 16
41 497 48
41 574 32
41 581 28
41 851 26
41 877 41
41 908 30
41 982 0
41 999 50
42 3 45
42 104 17
42 168 6
42 235 1
42 250 30
42 280 32
42 317 29
42 330 17
42 350 2
42 361 13
42 396 12
42 522 32
42 527 0
42 613 50
42 636 49
42 652 39
42 971 36
43 201 44
43 274 11
43 391 28
43 525 19
43 604 22
43 610 41
43 666 23
43 813 23
43 940 23
44 8 19
44 33 39
44 183 45
44 186 36
44 563 4
44 583 1
44 732 43
44 795 1
44 800 41
44 856 47
45 40 46
45 84 14
45 227 37
45 236 45
45 478 46
45 581 50
45 771 20
45 794 11
45 893 48
45 941 27
45 965 25
45 980 16
46 150 41
46 306 50
46 434 47
46 447 13
46 515 17
46 637 16
46 804 40
46 915 15
47 6 24
47 44 1
47 83 44
47 321 27
47 561 39
47 621 23
47 737 5
47 739 7
47 857 41
47 927 13
48 13 12
48 18 24
48 36 14
48 41 26
48 52 20
48 177 14
48 386 28
48 431 1
48 505 13
48 613 34
48 752 16
48 836 42
48 847 11
49 45 4
49 76 34
49 299 6
49 300 4
49 324 22
49 431 19
49 485 1
49 592 9
49 769 39
49 787 35
49 976 39
50 0 13
50 181 22
50 330 29
50 344 8
50 409 39
50 478 27
50 481 42
50 513 50
50 522 27
50 781 4
50 783 30
50 894 9
50 962 26
51 14 49
51 194 28
51 305 43
51 345 27
51 428 18
51 539 5
51 556 20
51 576 4
51 579 32
51 707 31
51 740 42
51 749 3
51 809 11
51 811 42
51 832 34
51 873 15
52 136 13
52 446 48
52 496 43
52 777 9
52 811 18
52 963 12
53 7 19
53 15 3
53 23 23
53 123 32
53 184 20
53 586 19
53 594 3
53 663 45
53 958 43
54 196 47
54 292 49
54 315 47
54 677 6
54 747 29
54 863 10
54 887 13
54 966 3
55 73 45
55 127 33
55 249 48
55 261 27
55 297 10
55 299 13
55 303 29
55 384 40
55 393 37
55 530 16
55 606 29
55 647 49
55 828 34
55 841 42
55 889 38
55 951 40
56 100 43
56 158 23
56 177 34
56 304 3
56 331 0
56 339 41
56 388 20
56 608 32
56 698 10
56 718 33
56 819 46
56 917 43
56 929 17
56 996 23
57 59 37
57 156 27
57 327 4
57 467 33
57 486 33
57 667 25
57 718 3
57 844 34
57 987 40
57 990 16
58 29 45
58 56 41
58 482 1
58 552 0
58 598 33
58 602 15
58 920 44
59 192 23
59 323 38
59 349 18
59 468 41
59 472 39
59 547 43
59 605 6
59 794 28
59 795 12
59 837 38
60 47 11
60 77 33
60 123 20
60 427 28
60 491 10
60 726 29
60 820 41
60 854 39
61 33 30
61 122 0
61 161 21
61 306 22
61 329 50
61 468 19
61 474 38
61 518 27
61 676 33
61 784 30
61 817 11
62 47 21
62 77 15
62 110 47
62 116 32
62 194 13
62 267 17
62 354 37
62 376 50
62 380 23
62 553 22
62 622 18
63 100 2
63 249 7
63 400 37
63 571 16
63 919 24
63 996 13
64 127 6
64 341 20
64 444 41
64 534 17
64 661 38
64 692 39
64 732 40
64 872 19
64 934 43
65 43 4
65 135 15
65 139 50
65 187 20
65 260 11
65 317 17
65 328 0
65 360 24
65 416 17
65 467 32
65 692 15
65 911 39
66 102 32
66 156 45
66 189 23
66 285 9
66 491 9
66 530 10
66 603 39
66 821 34
66 833 43
66 964 4
67 340 25
67 352 43
67 379 17
67 411 33
67 443 40
67 470 1
67 479 36
67 665 17
67 779 6
68 201 40
68 261 50
68 263 49
68 272 47
68 376 43
68 553 30
68 604 19
68 640 45
68 958 18
69 146 9
69 173 23
69 194 50
69 239 13
69 472 41
69 577 14
69 590 30
69 661 32
69 952 32
70 72 37
70 103 4
70 106 33
70 171 41
70 528 15
70 606 25
70 693 19
70 715 7
70 899 2
70 925 20
70 977 11
71 2 7
71 61 17
71 95 16
71 323 5
71 482 49
71 526 3
71 530 42
71 562 39
71 643 31
71 868 31
71 917 46
72 65 18
72 82 44
72 143 45
72 206 30
72 214 42
72 312 34
72 393 12
72 414 8
72 423 0
72 543 20
72 607 0
72 841 25
72 919 4
73 72 17
73 171 40
73 195 29
73 440 2
73 515 40
73 525 7
73 873 2
73 911 0
73 920 27
74 132 22
74 316 39
74 351 48
74 689 16
74 806 26
75 8 11
75 137 50
75 245 12
75 266 43
75 340 44
75 421 30
75 424 34
75 426 6
75 579 21
75 612 28
75 621 29
75 629 33
75 643 23
75 693 35
75 910 42
76 1 9
76 28 42
76 61 37
76 161 21
76 188 7
76 305 13
76 395 42
76 538 49
76 573 0
76 588 27
76 601 35
76 872 14
76 995 25
77 33 37
77 57 26
77 467 38
77 693 13
77 742 0
77 784 0
77 993 12
78 5 36
78 16 47
78 46 50
78 134 24
78 155 25
78 186 17
78 274 44
78 387 7
78 505 6
78 507 12
79 78 42
79 134 43
79 138 32
79 174 42
79 332 22
79 445 4
79 694 43
79 704 34
79 861 42
79 883 46
80 13 23
80 50 19
80 195 11
80 728 37
80 748 6
80 760 24
80 944 19
80 984 21
80 994 30
81 37 5
81 44 20
81 65 41
81 112 50
81 328 26
81 365 49
81 435 38
81 464 36
81 630 44
81 896 43
81 966 0
82 80 33
82 168 15
82 181 0
82 192 43
82 263 37
82 282 40
82 323 22
82 504 30
82 639 9
82 779 29
83 59 1
83 129 43
83 144 48
83 171 13
83 247 28
83 263 24
83 348 48
83 718 11
83 835 12
84 76 18
84 121 1
84 230 19
84 399 30
84 425 23
84 491 28
84 558 10
84 610 34
84 637 37
84 655 1
84 658 23
84 699 42
84 746 43
84 901 43
85 348 30
85 764 21
85 805 7
85 995 12
86 157 49
86 585 41
86 661 7
86 772 38
