501 1531
339 428
0 73 24
0 252 20
1 227 23
1 231 9
2 315 37
2 317 8
2 481 22
3 234 25
3 366 42
3 399 21
3 403 36
3 468 38
4 38 8
4 43 44
4 169 29
4 204 40
4 236 45
4 300 24
5 265 10
5 482 42
6 139 7
6 275 11
6 301 10
7 40 9
7 174 45
7 224 43
8 62 26
9 288 29
10 158 48
10 258 22
10 320 35
10 324 40
10 378 26
10 429 28
11 185 45
11 341 19
11 444 44
12 244 42
14 153 38
14 190 17
14 233 2
14 282 33
15 310 50
15 321 29
16 147 40
16 311 49
16 497 18
17 8 9
17 317 45
17 494 45
18 44 9
18 90 11
18 234 11
18 278 38
18 286 4
18 335 14
18 355 16
20 43 47
20 155 48
20 368 3
20 445 20
21 25 1
21 57 19
21 102 42
21 311 46
22 6 18
22 84 36
23 68 10
23 155 45
23 371 40
24 15 44
24 59 10
24 83 43
24 282 49
24 399 41
24 473 47
25 44 8
25 309 18
25 413 8
25 487 16
25 494 41
26 109 19
27 155 29
27 305 21
28 103 36
28 274 4
28 338 32
28 387 32
29 18 39
29 108 46
29 114 38
29 410 11
29 452 50
29 493 20
30 27 43
30 95 8
30 141 47
30 417 44
30 421 31
30 451 24
31 53 37
31 71 20
31 218 8
31 240 48
31 430 14
32 91 38
32 116 34
32 217 38
32 479 34
33 3 46
33 132 18
33 411 17
34 132 43
34 144 28
34 273 20
35 335 22
35 336 26
35 477 34
36 289 27
36 478 29
37 105 49
37 139 0
37 340 15
37 443 38
38 359 3
39 186 26
39 206 11
39 473 9
40 178 29
40 355 5
41 482 8
41 498 28
42 7 3
42 125 33
42 221 2
42 491 43
43 183 27
43 436 27
44 95 29
44 155 3
44 304 20
44 463 29
45 176 24
46 42 38
46 85 8
46 194 21
46 312 25
47 346 40
47 439 43
47 463 2
49 132 31
49 165 46
49 269 39
49 288 2
49 413 48
49 435 29
50 97 48
50 108 28
50 134 21
50 160 1
50 274 36
50 421 49
51 440 44
52 250 0
52 459 29
53 178 15
53 261 9
53 290 36
53 348 18
53 355 22
54 129 30
54 250 11
55 89 36
55 371 16
56 264 14
57 352 29
57 364 50
58 10 31
58 17 7
58 104 19
58 109 9
58 323 49
59 282 0
59 500 45
61 165 25
61 483 34
61 489 2
62 5 3
62 69 29
62 182 15
62 258 5
62 275 45
62 309 47
63 114 28
64 151 37
64 269 9
65 337 4
65 444 32
66 78 14
66 414 40
67 21 39
67 45 43
67 181 5
67 199 6
67 322 16
67 339 46
68 131 44
68 189 27
68 407 31
68 467 32
69 163 21
70 230 26
70 351 25
71 110 49
71 188 30
72 164 33
72 242 5
72 288 45
72 435 47
72 445 21
73 173 40
73 216 6
73 241 13
73 310 28
73 336 2
74 257 8
74 392 0
74 431 42
75 14 7
75 315 6
75 335 46
75 479 40
76 87 22
76 305 19
77 116 42
77 435 46
77 497 40
78 256 40
79 2 1
79 158 29
79 163 6
79 270 49
80 308 25
81 8 26
81 188 32
81 341 50
82 24 8
82 67 25
82 74 46
82 118 40
82 149 38
83 72 34
83 201 50
83 205 39
83 402 26
83 477 11
84 132 29
84 141 28
84 223 1
85 111 21
85 358 1
85 459 32
86 30 32
86 85 9
86 109 2
86 286 3
86 488 2
87 167 15
87 427 18
88 137 16
88 193 45
88 240 12
89 56 32
89 228 11
90 74 40
90 340 24
90 354 41
91 126 7
91 238 22
91 301 36
91 302 47
91 349 35
91 355 36
91 429 20
91 478 2
92 125 49
93 144 0
93 345 11
94 3 9
94 100 5
94 110 33
94 138 0
94 154 36
94 347 39
94 375 25
96 188 36
96 235 41
96 296 44
96 445 45
96 496 45
97 15 38
97 102 20
98 212 42
98 411 15
98 462 12
100 103 42
100 317 2
100 375 4
101 408 40
101 414 41
101 439 29
102 119 25
102 368 4
102 382 39
102 414 18
102 438 22
103 207 31
103 339 3
104 42 4
104 110 32
104 251 1
104 265 32
104 304 14
105 90 25
105 112 49
105 174 28
105 186 38
105 259 27
106 2 24
106 108 23
106 130 16
106 309 0
107 50 8
107 446 20
108 312 39
109 233 20
109 367 18
109 422 39
110 36 19
110 138 21
110 218 45
110 270 44
110 282 35
110 367 50
111 30 8
111 135 17
111 287 45
111 386 25
111 440 21
112 5 41
112 55 30
112 198 38
113 19 21
113 47 20
113 328 30
113 345 31
113 458 33
114 65 50
114 288 19
114 354 18
115 118 6
115 165 32
115 382 18
115 415 28
115 474 32
115 481 39
116 221 14
116 304 33
117 24 3
119 483 18
119 484 43
120 96 39
120 100 13
120 152 19
121 266 43
122 165 50
122 208 24
123 374 11
123 492 49
124 159 20
124 240 9
124 297 39
124 369 13
125 6 47
125 312 6
125 327 27
125 357 40
126 86 43
126 183 1
126 350 32
127 31 43
127 177 1
127 258 26
127 303 3
127 400 28
128 108 8
128 188 19
128 470 44
129 16 35
130 364 26
131 207 2
131 382 48
131 451 12
132 44 50
132 299 12
133 228 15
133 446 17
134 36 30
134 52 15
134 258 28
134 279 32
134 466 19
135 56 35
135 130 6
135 307 5
135 398 16
136 110 38
136 170 26
137 113 2
137 123 22
137 177 39
137 373 28
137 400 21
138 115 8
138 227 9
139 8 43
139 11 42
139 375 39
139 447 24
140 125 17
141 42 47
141 58 49
141 59 6
141 101 3
141 247 1
141 307 1
142 228 0
142 229 36
142 378 32
142 412 2
143 58 38
143 142 45
143 196 3
143 264 40
143 370 40
143 411 25
144 130 41
144 163 11
144 273 3
144 297 35
144 373 32
145 25 8
145 197 7
145 323 36
145 397 17
145 436 31
145 472 19
146 467 36
146 485 6
147 219 42
147 254 38
148 221 47
149 324 41
149 455 23
