10000 49983
9087 2853
0 1501 7
0 4245 38
0 5839 21
0 7692 44
0 8444 25
1 1844 33
1 5634 5
1 8023 20
2 446 4
2 1997 13
2 2394 5
2 3423 32
2 3499 18
2 5510 3
2 6665 34
2 7035 24
2 8617 0
3 2058 26
3 2116 12
3 2350 9
3 2359 0
3 4666 17
3 6619 4
3 9502 16
4 3456 22
4 4529 2
4 6213 36
4 6569 9
4 7629 29
4 9599 4
4 9720 36
5 6940 2
5 8912 14
6 275 18
6 3871 17
6 4353 44
6 5075 5
6 8212 26
6 8261 50
6 9951 24
7 2521 10
7 5716 19
7 6084 17
8 314 45
8 2609 0
8 3640 17
8 5117 49
8 6253 9
8 7556 1
8 7765 33
8 9708 39
9 2227 7
9 3587 18
9 4311 40
9 4312 31
9 6115 27
9 8754 8
9 8769 47
9 9126 8
10 5305 3
10 5639 11
10 6405 28
10 8808 3
11 517 18
11 956 0
11 2927 26
11 3544 48
11 3979 12
11 6944 6
11 7089 41
12 33 28
13 4 38
13 3754 22
13 7165 35
13 8157 38
14 141 1
14 925 22
14 1573 44
14 5718 26
14 7957 13
14 9682 49
15 548 29
15 1369 19
15 1929 31
15 5591 21
15 5891 50
15 7695 8
16 545 49
16 3821 15
16 4514 26
16 4979 24
16 7446 30
16 8224 48
16 8814 23
17 4568 39
17 5943 25
17 6490 24
17 8110 44
17 8723 48
18 1216 24
18 1850 0
18 4510 37
18 7609 40
19 1835 23
19 2010 49
19 4238 39
19 7724 15
20 3945 26
20 4999 45
20 9382 37
21 689 29
21 6952 19
21 7276 6
21 8339 4
22 686 22
22 1192 50
22 2408 8
22 2927 28
22 4462 49
22 7546 13
22 8970 40
23 3732 14
23 5754 15
23 6508 34
23 6723 37
23 9505 3
23 9634 45
23 9747 42
24 1568 37
24 2521 20
24 4292 32
24 5267 16
24 6583 4
25 624 4
25 2022 39
25 4220 22
25 4598 23
25 4961 19
25 5279 49
25 5860 23
25 9333 39
26 966 12
26 1249 40
26 2884 5
26 5287 12
26 5783 23
26 5984 19
27 751 34
27 2108 12
27 3327 14
27 5861 27
27 6304 30
27 8118 28
28 760 9
28 1402 12
28 1733 16
28 3304 9
28 4720 46
28 5461 17
29 1948 10
29 5288 27
29 7274 32
29 7548 48
30 806 41
30 2448 21
30 4639 2
30 9180 42
31 3323 20
31 4589 16
31 5178 45
31 5691 1
31 7401 42
31 8560 19
31 9853 9
32 20 6
32 3900 29
32 3990 40
32 4211 28
32 4527 6
33 1502 38
33 2339 5
33 4985 0
33 6603 35
33 7372 26
34 854 28
34 3978 43
34 6434 19
34 7179 5
34 7630 33
35 980 7
35 1290 30
35 2429 35
35 5090 29
35 8261 15
35 9716 4
36 1282 12
36 3361 49
36 6543 25
36 7764 37
37 2505 12
37 4048 39
37 4411 44
37 7197 30
38 456 4
38 1242 27
38 2877 46
38 4485 23
38 9089 49
39 2667 45
39 7769 50
39 9466 27
40 2120 38
40 3473 46
40 6717 20
41 58 43
41 1370 27
41 1571 46
41 2810 16
41 3718 23
41 7604 27
42 7480 9
42 7626 23
42 9494 11
43 870 15
43 1249 7
43 1577 30
43 2154 9
43 3179 8
43 5104 7
43 5806 45
43 6496 27
44 1730 39
44 4843 18
44 5572 42
44 8134 30
45 6573 26
45 7673 37
46 1391 42
46 2053 26
