1001 9948
559 136
0 72 42
0 211 3
0 263 45
0 290 21
0 310 11
0 423 14
0 538 2
0 937 15
1 68 26
1 94 45
1 183 42
1 221 4
1 226 6
1 304 0
1 426 23
1 448 25
1 480 40
1 604 37
1 693 45
1 899 10
1 976 35
2 487 49
2 531 2
2 610 6
2 691 20
2 950 21
3 7 4
3 70 4
3 112 24
3 123 17
3 354 31
3 450 29
3 578 14
3 709 40
3 738 25
3 773 46
3 879 50
3 956 48
4 163 38
4 384 3
4 451 43
4 480 31
4 534 6
4 561 19
4 677 4
4 780 3
4 868 12
4 875 14
4 966 35
5 354 48
5 440 30
5 635 0
5 642 33
5 677 46
5 701 26
5 828 43
5 844 17
6 73 26
6 130 27
6 446 19
6 520 37
6 623 28
6 624 6
6 754 44
6 828 32
6 857 34
6 997 8
7 12 10
7 69 21
7 225 25
7 261 13
7 280 45
7 554 50
7 588 35
7 627 15
7 663 27
7 677 43
7 696 36
7 708 27
7 796 19
7 803 24
7 954 16
8 90 43
8 217 31
8 559 26
8 670 34
8 721 50
8 836 15
8 936 22
9 34 23
9 44 16
9 61 40
9 64 14
9 114 19
9 174 21
9 601 36
9 621 46
9 714 16
9 754 23
9 897 34
10 43 30
10 253 3
10 268 28
10 460 49
10 532 36
10 541 8
10 728 23
10 842 33
10 847 3
11 127 40
11 160 11
11 274 32
11 277 10
11 383 14
11 435 17
11 946 6
12 427 33
12 512 38
12 564 19
12 570 2
12 618 8
12 705 7
12 947 28
13 24 15
13 189 33
13 308 40
13 480 5
13 541 39
13 560 4
13 634 39
13 730 17
13 775 39
13 937 6
14 73 0
14 168 2
14 359 9
14 509 48
14 511 21
14 631 13
14 684 0
14 729 31
14 761 44
14 834 33
14 860 9
14 914 5
15 67 22
15 912 42
16 36 18
16 56 4
16 66 10
16 91 24
16 279 3
16 362 17
16 395 24
16 432 14
16 564 13
16 793 33
16 801 2
16 977 45
17 163 39
17 226 13
17 325 9
17 355 1
17 388 6
17 391 13
17 416 45
17 463 36
17 536 45
17 598 6
17 606 4
17 667 44
17 792 10
17 901 8
17 966 27
18 63 42
18 111 34
18 248 31
18 426 39
18 521 7
18 624 21
18 734 42
18 749 3
18 808 36
18 870 9
18 892 2
19 33 18
19 143 43
19 144 20
19 310 23
19 469 16
19 633 17
19 657 14
19 729 44
19 846 39
19 854 20
19 878 31
19 906 29
19 922 23
19 930 1
20 3 50
20 76 18
20 429 49
20 495 33
20 732 36
20 746 3
20 806 10
20 881 38
20 910 30
21 69 15
21 95 46
21 171 27
21 236 20
21 535 18
21 652 24
21 683 4
21 762 29
21 837 43
21 920 6
21 936 14
22 58 19
22 125 6
22 139 46
22 361 36
22 480 24
22 496 24
22 552 23
22 749 36
22 910 50
22 913 12
23 203 7
23 438 6
23 541 18
23 571 41
23 793 43
23 870 35
23 909 27
23 930 18
24 233 32
24 256 31
24 720 44
24 800 31
25 254 38
25 421 24
25 430 36
25 596 50
25 612 1
25 715 32
25 751 23
25 808 30
25 887 36
25 985 26
26 119 33
26 151 37
26 161 33
26 351 33
26 435 39
26 507 2
26 588 3
26 802 35
26 830 38
26 910 6
26 913 12
27 165 42
27 282 33
27 306 24
27 309 10
27 346 39
27 497 7
27 525 9
27 749 5
27 754 22
27 850 15
28 17 25
28 67 19
28 165 27
28 305 1
28 350 19
28 404 9
28 525 20
28 633 24
28 720 20
28 740 28
28 925 34
29 57 25
29 265 7
29 333 3
29 373 29
29 431 10
29 465 9
29 537 43
29 748 30
29 847 1
30 97 19
30 146 26
30 407 44
30 428 28
30 487 47
30 514 6
30 640 48
30 678 35
31 45 48
31 80 15
31 192 17
31 332 11
31 530 20
31 631 49
31 714 25
31 778 1
31 821 39
31 963 39
32 198 33
32 266 33
32 306 23
32 354 27
32 518 43
32 788 10
32 897 50
33 30 13
33 49 8
33 240 25
33 244 0
33 424 3
33 458 48
33 518 4
33 523 20
33 588 32
33 641 48
33 722 1
33 784 18
34 239 36
34 295 17
34 436 3
34 522 17
34 526 16
34 634 49
34 657 47
34 781 13
34 870 16
34 873 44
34 936 50
35 142 34
35 255 40
35 436 48
35 455 20
35 520 45
35 555 3
35 621 4
35 673 40
35 710 10
35 825 2
35 876 43
36 90 45
36 250 32
36 261 18
36 275 18
36 322 17
36 327 3
36 357 26
36 366 8
36 425 46
36 429 18
36 431 46
36 601 42
36 623 23
36 786 24
36 870 27
36 891 35
37 24 31
37 30 20
37 56 11
37 67 21
37 87 37
37 168 25
37 347 33
37 380 42
37 497 11
37 702 39
37 791 3
37 876 17
37 929 8
37 943 16
37 963 33
38 36 24
38 91 38
38 150 29
38 171 47
38 183 9
38 569 34
38 604 6
38 621 22
38 702 43
38 780 43
39 58 46
39 86 40
39 228 37
39 494 24
39 501 40
39 668 12
39 852 18
39 859 7
39 973 39
40 208 36
40 239 23
40 310 36
40 426 35
40 555 16
40 647 19
40 658 39
40 685 32
40 806 46
40 830 43
40 892 42
40 969 29
41 78 9
41 79 21
41 90 42
41 320 8
41 548 31
41 590 8
41 607 16
41 853 1
41 925 31
42 29 43
42 191 48
42 479 43
42 716 22
42 839 16
42 902 16
42 947 35
42 956 44
43 122 9
43 278 32
43 300 40
43 440 15
43 690 44
43 701 45
43 826 23
43 857 37
43 920 23
43 981 27
44 21 21
44 163 18
44 201 38
44 247 48
44 273 4
44 367 27
44 379 41
44 392 28
44 477 39
44 575 20
44 664 15
44 694 20
44 724 5
44 884 22
44 974 9
45 12 2
45 72 1
45 207 4
45 292 15
45 457 18
45 718 20
45 783 9
45 841 50
45 991 46
46 79 25
46 106 42
46 191 17
46 345 36
46 398 14
46 584 20
46 606 0
46 692 4
47 57 33
47 94 50
47 186 35
47 215 24
47 301 13
47 394 32
47 434 28
47 525 2
47 706 11
47 708 10
47 762 32
47 886 31
47 932 48
47 940 33
48 37 25
48 75 46
48 92 27
48 99 12
48 290 18
48 349 21
48 354 14
48 419 35
48 420 32
48 636 18
48 750 49
48 815 15
48 883 39
48 915 9
49 156 24
49 437 40
49 848 6
49 873 20
49 965 49
50 18 4
50 25 13
50 89 31
50 149 49
50 150 13
50 162 11
50 299 2
50 338 8
50 416 11
50 444 39
50 474 26
50 525 39
50 649 18
50 662 4
50 813 17
50 873 40
50 874 2
50 891 18
50 932 14
51 57 8
51 235 39
51 241 4
51 329 8
51 364 7
51 475 41
51 628 23
51 686 5
51 743 0
51 825 47
51 855 20
51 904 32
51 982 41
52 96 44
52 290 45
52 306 38
52 469 32
52 678 16
52 758 49
53 214 26
53 249 39
53 285 11
53 381 3
53 428 32
53 583 9
53 626 16
53 655 10
53 868 32
53 917 3
54 25 30
54 111 1
54 121 36
54 331 17
54 691 45
54 694 15
54 761 16
55 284 34
55 430 44
55 469 27
55 507 13
55 573 13
55 745 45
56 49 49
56 288 35
56 304 11
56 308 1
56 418 33
56 425 10
56 450 45
56 482 33
56 614 18
56 632 10
56 672 13
56 695 8
56 714 41
56 756 39
56 781 44
56 859 49
56 984 36
57 100 31
57 201 29
57 225 13
57 237 0
57 580 14
57 815 41
58 148 48
58 345 10
58 426 7
58 442 10
58 499 20
58 532 16
58 586 47
58 836 11
59 278 38
59 286 37
59 290 15
59 329 48
59 401 38
59 417 12
59 420 6
59 481 29
59 736 2
59 840 28
59 965 17
60 74 16
60 98 3
60 354 47
60 427 16
60 618 27
60 637 49
60 700 44
60 735 12
60 880 35
60 887 6
61 41 18
61 90 3
61 153 38
61 248 28
61 290 12
61 292 42
61 487 22
61 641 21
61 702 50
61 863 3
61 879 11
61 883 32
61 907 34
62 485 7
62 593 43
62 637 24
62 748 7
62 827 30
63 27 43
63 180 25
63 247 0
63 279 32
63 288 47
63 374 28
63 386 30
63 587 33
63 601 34
63 817 47
63 829 3
64 52 16
64 62 5
64 97 33
64 201 37
64 304 37
64 365 18
64 402 9
64 508 17
64 681 18
64 760 41
64 848 38
65 255 18
65 339 16
65 374 29
65 547 7
65 565 46
65 600 34
65 624 42
65 807 6
65 937 50
66 19 50
66 97 0
66 135 30
66 184 47
66 223 10
66 228 50
66 330 8
66 525 9
66 750 34
66 953 22
67 286 1
67 350 16
67 413 26
67 448 14
67 520 45
67 569 15
67 703 7
67 822 45
67 883 4
68 52 4
68 95 18
68 218 41
68 341 21
68 491 24
68 619 11
68 861 15
68 914 7
69 110 20
69 121 7
69 286 8
69 311 34
69 664 19
69 765 16
69 850 17
69 874 18
69 897 40
69 902 47
69 971 8
69 992 1
70 17 48
70 90 1
70 259 24
70 287 33
70 328 35
70 333 43
70 385 42
70 406 27
70 421 3
70 615 39
70 694 5
70 857 6
70 919 44
71 201 25
71 244 46
71 316 39
71 330 15
71 421 28
71 526 4
71 606 20
71 695 39
71 710 6
71 788 48
71 790 7
71 941 23
71 986 50
72 356 25
72 772 47
72 932 22
73 87 0
73 376 37
73 473 45
73 582 8
73 850 41
74 59 6
74 237 12
74 557 50
74 680 26
74 822 1
75 113 44
75 209 17
75 219 10
75 276 39
75 410 42
75 428 18
75 612 6
75 635 2
75 673 11
75 751 15
75 875 50
75 919 33
75 921 39
75 929 39
76 17 18
76 259 35
76 461 50
76 483 1
76 632 28
76 711 20
76 851 31
76 969 27
77 36 34
77 73 36
77 95 5
77 226 40
77 232 31
77 412 13
77 479 13
77 503 23
77 603 16
77 669 42
77 674 10
77 719 26
77 741 17
77 747 49
77 757 30
77 853 21
77 883 42
77 965 46
77 984 31
78 190 4
78 299 0
78 395 2
78 421 40
78 449 1
78 451 48
78 530 40
78 597 14
78 700 22
78 761 20
78 778 35
78 919 33
78 955 27
78 962 9
79 1 34
79 91 33
79 223 2
79 241 38
79 275 1
79 281 48
79 411 35
79 475 6
79 492 11
79 719 14
79 738 6
79 758 3
79 906 23
79 936 26
80 82 46
80 121 3
80 199 3
80 311 4
80 479 37
80 544 17
80 574 46
80 600 29
80 931 35
81 44 20
81 65 15
81 110 31
81 194 32
81 297 37
81 359 9
81 445 25
81 590 32
81 692 34
81 707 14
81 925 9
82 141 16
82 210 40
82 323 37
82 535 12
82 589 35
82 724 7
82 818 8
82 934 26
82 989 35
83 372 36
83 657 38
83 718 37
83 970 40
83 973 36
83 980 16
84 154 28
84 746 36
84 827 13
84 854 47
84 885 49
84 951 14
85 12 34
85 39 40
85 50 19
85 93 10
85 157 3
85 252 4
85 293 11
85 362 28
85 417 34
85 433 48
85 500 42
85 518 15
85 627 18
85 891 6
85 938 45
85 953 30
85 959 1
86 217 31
86 221 42
86 234 22
86 303 21
86 568 40
86 578 14
86 640 40
86 688 19
86 781 15
86 825 31
86 868 29
86 911 14
86 936 33
86 954 27
87 33 8
87 82 19
87 326 21
87 385 26
87 453 41
87 540 38
87 610 40
87 700 3
87 730 0
87 975 44
88 112 28
88 212 13
88 395 50
88 429 11
88 494 11
88 902 28
88 967 14
89 26 1
89 92 49
89 129 8
89 210 31
89 314 10
89 482 44
89 498 3
89 645 36
89 651 48
89 991 3
90 123 16
90 248 6
90 254 46
90 285 10
90 325 24
90 363 35
90 528 27
90 556 43
90 647 39
91 13 2
91 38 37
91 103 3
91 114 44
91 162 17
91 185 20
91 201 43
91 203 14
91 262 47
91 341 49
91 378 8
91 609 16
91 759 50
91 923 21
91 992 46
92 8 43
92 51 40
92 130 35
92 157 19
92 434 24
92 451 34
92 485 44
92 575 19
92 596 6
92 736 32
92 748 33
92 772 27
92 863 29
93 34 27
93 163 37
93 231 11
93 266 36
93 275 39
93 365 40
93 381 28
93 382 49
93 569 37
93 728 34
93 881 4
93 909 36
94 5 1
94 34 18
94 56 3
94 118 25
94 298 33
94 393 0
94 535 38
94 583 38
94 688 10
94 806 32
94 931 38
94 958 14
95 23 24
95 141 0
95 256 7
95 267 3
95 281 34
95 382 48
95 424 25
95 515 41
95 595 46
95 667 0
95 715 12
95 762 44
95 887 21
95 895 11
95 897 5
95 929 44
95 986 43
96 43 37
96 45 23
96 134 23
96 323 9
96 595 19
96 614 7
96 693 35
96 735 2
96 935 14
96 999 7
97 75 6
97 192 26
97 244 33
97 252 35
97 317 9
97 329 19
97 386 4
97 459 20
97 476 6
97 496 2
97 543 14
97 867 18
97 941 50
98 96 32
98 218 13
98 292 19
98 338 3
98 390 16
98 400 44
98 776 40
98 782 43
98 875 25
98 922 34
99 45 24
99 129 41
99 163 1
99 229 14
99 241 44
99 323 3
99 399 15
99 403 10
99 464 19
99 498 13
99 508 4
99 570 30
99 599 50
99 733 30
99 865 20
99 980 34
99 988 23
100 13 50
100 25 43
100 90 12
100 421 15
100 484 43
100 538 47
100 617 5
100 821 15
100 872 21
100 910 25
100 949 2
101 9 13
101 29 16
101 115 23
101 198 27
101 255 42
101 580 33
101 726 3
101 734 11
101 748 41
101 965 35
102 279 34
102 354 23
102 411 21
102 649 45
102 683 38
102 836 41
103 121 22
103 137 31
103 171 37
103 458 43
103 492 44
103 672 27
103 800 3
103 815 18
103 983 44
104 173 40
104 182 40
104 262 19
104 390 45
104 435 47
104 438 23
104 804 0
105 188 13
105 244 0
105 374 31
105 396 9
105 401 15
105 479 43
105 523 9
105 875 49
105 887 39
105 902 9
106 114 21
106 145 49
106 216 20
106 297 41
106 456 12
106 486 48
106 552 38
106 759 26
106 844 3
106 941 4
107 24 11
107 132 6
107 667 31
107 682 5
107 793 6
107 909 5
107 963 46
108 270 34
108 305 27
108 383 24
108 425 39
108 584 24
108 770 43
109 37 20
109 245 0
109 370 11
109 407 30
109 549 8
109 890 41
109 999 18
110 70 22
110 138 12
110 341 17
110 533 48
110 563 32
110 919 16
111 4 43
111 41 46
111 124 26
111 145 2
111 185 34
111 362 18
111 405 14
111 474 25
111 492 43
111 512 19
111 582 22
111 641 15
111 651 42
111 661 26
111 721 40
111 851 20
112 325 13
112 393 7
112 405 4
112 634 31
112 662 50
112 744 43
112 804 27
112 835 14
112 860 27
112 896 46
112 978 16
113 98 38
113 102 50
113 172 22
113 289 3
113 537 14
113 663 25
113 678 2
113 769 44
114 26 43
114 109 22
114 124 31
114 255 48
114 295 4
114 371 7
114 388 47
114 420 42
114 483 46
114 615 27
114 756 6
114 781 30
114 808 19
114 873 36
115 191 43
115 444 44
115 539 44
115 552 48
115 656 38
115 690 46
115 711 28
115 742 41
115 757 12
115 972 22
115 973 22
116 109 13
116 270 45
116 408 28
116 826 14
116 906 27
117 2 40
117 34 2
117 61 19
117 147 37
117 213 28
117 315 6
117 384 34
117 415 49
117 685 6
118 113 23
118 134 4
118 158 15
118 232 46
118 238 8
118 249 6
118 253 38
118 633 5
118 732 48
118 833 21
118 867 50
118 928 25
119 39 50
119 109 18
119 188 3
119 267 4
119 282 6
119 296 8
119 323 24
119 334 28
119 363 19
119 370 26
119 738 18
119 780 3
119 802 26
119 975 34
120 62 4
120 79 1
120 259 41
120 270 6
120 334 13
120 365 28
120 546 42
120 569 36
120 683 31
120 722 29
120 734 37
120 779 19
120 785 46
120 907 26
121 28 18
121 100 43
121 261 12
121 470 39
121 473 1
121 574 1
121 688 36
121 779 22
121 959 41
121 971 16
122 106 39
122 177 17
122 257 46
122 272 30
122 447 31
122 494 13
122 511 32
122 830 28
123 41 5
123 56 23
123 202 35
123 410 15
123 523 42
123 691 12
123 823 31
124 0 43
124 30 5
124 50 19
124 67 35
124 142 14
124 152 44
124 471 50
124 497 36
124 577 24
124 598 15
124 864 37
125 19 20
