10001 49987
3143 4112
0 694 24
0 1492 28
0 2832 18
0 2857 14
0 3216 2
0 4068 12
0 8253 13
1 61 4
1 1776 1
1 2596 2
1 6994 0
2 651 44
2 3290 11
2 4345 11
2 4549 38
2 7054 40
2 7796 47
2 9087 42
2 9419 16
3 2340 38
3 3119 38
3 3418 36
3 3614 37
3 5477 50
3 6787 46
3 8549 4
3 9195 44
4 1154 24
4 5363 43
4 7537 35
4 8630 32
4 8996 18
5 34 47
5 306 49
5 4254 18
5 5656 17
5 5822 10
5 7694 24
5 8304 15
5 9466 13
6 643 33
6 2769 17
6 2857 39
6 5868 35
6 6612 43
6 6948 47
6 7464 35
6 9647 35
7 4019 1
7 8358 33
8 161 44
8 5101 40
8 5429 3
8 5647 49
8 6796 14
8 7878 4
9 2063 43
9 2089 14
9 2174 33
9 3517 8
9 4682 1
9 5139 47
9 6262 28
9 6303 9
9 8133 4
10 847 2
10 3706 27
10 3879 31
10 5059 27
10 5790 19
10 6658 2
10 6738 13
10 7715 42
10 7835 1
10 9430 22
11 585 8
11 2714 36
11 3380 20
11 5318 30
12 24 46
12 2246 19
12 2921 37
12 4445 33
12 4646 11
12 4782 1
12 6908 44
12 7133 39
12 7602 32
12 8620 39
13 1420 23
13 3962 19
13 7624 12
13 9357 26
13 9533 45
14 2075 14
14 2639 49
14 5583 34
14 9838 50
15 231 2
15 2997 43
15 4378 27
15 4644 46
15 5871 47
16 2236 43
16 3132 38
16 8180 48
17 930 0
17 2402 29
17 3191 25
17 3850 29
17 5091 25
18 2076 4
18 4664 34
18 5033 7
18 7802 39
18 9227 1
19 682 16
19 1663 4
19 2321 4
19 6273 40
20 859 16
20 2192 28
20 5616 0
20 7035 48
20 7687 37
21 2945 46
21 7403 15
22 1517 46
22 1568 15
22 2717 13
22 5166 45
22 7777 12
22 8031 1
22 9638 35
23 1946 10
23 3117 46
23 3387 34
23 5870 34
23 7915 4
24 746 39
24 1753 44
24 3893 14
24 5845 9
24 7880 30
24 9947 18
25 2662 27
25 3841 21
25 4093 20
