10001 49987
7848 4613
0 108 1
0 2659 26
1 1456 8
1 4608 40
1 4751 35
1 6316 12
1 6478 50
1 7352 9
1 8977 49
2 329 9
2 3286 13
2 4419 27
2 5227 21
2 6415 15
3 923 32
3 2076 7
3 2690 29
3 6017 14
4 83 12
4 1533 27
4 3878 48
4 4631 35
4 4759 5
4 4804 15
4 5838 21
5 1802 33
5 1957 2
5 2467 50
5 2556 38
5 4293 3
5 5363 48
5 5593 18
5 6652 29
5 7601 27
5 8621 35
6 2296 24
6 4930 15
6 5028 28
6 5387 0
6 6098 26
6 6438 24
6 8908 35
7 3150 37
7 4303 34
7 4811 13
7 9344 9
8 2297 48
8 2529 27
8 3204 10
8 3486 5
8 9230 11
8 9334 28
9 3163 47
9 3425 44
9 6389 17
9 7292 15
9 7360 2
10 502 5
10 522 46
10 2493 22
10 6905 29
10 8065 33
11 1428 3
11 2996 47
11 4095 0
11 6293 16
11 7630 45
12 2448 20
12 3918 5
12 5262 10
12 9591 20
13 1411 49
13 9533 21
14 3265 12
14 4733 44
14 9237 25
15 1194 17
15 3030 18
15 3319 13
15 3367 18
15 3543 0
15 6004 1
15 6739 39
16 3142 41
16 4960 2
16 6334 25
16 8662 42
17 1797 17
17 4485 47
17 4765 15
17 6514 10
18 15 14
18 275 35
18 1246 7
18 2984 14
18 5104 24
18 6189 37
18 6407 49
18 7795 9
18 8108 17
18 8367 21
18 8368 36
18 9074 6
19 2126 1
19 3009 39
19 4399 41
19 4930 22
19 5187 28
19 6235 9
19 9469 18
20 144 40
20 5550 10
21 894 30
22 6264 47
23 4654 35
23 5058 27
23 7036 12
23 8465 10
24 569 29
24 4937 29
24 5222 17
24 6552 15
24 7819 0
24 7983 34
24 8142 2
25 796 44
25 1521 35
25 3437 16
25 7298 14
25 7304 24
25 8030 11
26 621 14
26 3515 41
26 4878 18
26 5140 30
26 9759 36
27 2088 21
27 4206 15
27 5852 4
27 6311 24
27 6843 43
27 7818 5
27 8355 14
27 8775 10
27 9364 40
28 178 35
28 1526 5
28 3555 40
28 4091 37
28 7109 34
28 7468 36
28 9702 14
28 9773 23
29 524 41
29 2709 6
29 9525 49
30 856 39
30 1268 30
30 2587 13
30 2822 46
30 3078 37
30 6483 20
30 6961 12
31 2731 10
31 6039 50
31 7855 35
32 5450 7
33 846 10
33 1294 13
33 3789 22
33 4353 15
33 5004 8
33 5892 43
33 6171 50
34 279 0
34 1842 29
35 4838 13
35 7442 21
35 8709 42
35 9098 13
36 3521 7
36 3603 3
36 4148 43
37 1108 3
37 6231 46
37 8365 50
38 1383 31
38 1739 23
38 2063 33
38 2521 1
38 4147 25
38 4169 6
38 5473 40
38 8136 47
39 656 24
39 1567 25
39 4071 26
39 4342 36
39 7345 24
40 101 36
40 2160 43
40 2480 40
40 6168 10
40 6784 35
40 8892 21
41 5156 41
41 6035 22
41 6763 15
41 7380 7
41 8202 1
41 8231 10
41 9938 48
42 425 3
42 1059 48
42 2628 4
42 6393 22
42 7587 7
43 1085 46
43 4632 0
43 6511 4
43 8643 13
43 9569 13
44 620 41
44 1013 20
44 1483 3
44 1725 44
44 1901 5
44 2454 30
44 3196 27
44 4610 12
44 6602 48
45 1327 15
45 4165 40
45 5514 11
45 8317 24
45 9611 21
46 2141 37
46 4759 38
46 5598 48
47 1825 31
47 3463 17
47 5036 33
47 7280 34
48 883 42
48 1664 22
48 3834 42
48 4088 39
48 4272 37
48 6336 34
48 7065 0
48 7895 18
49 222 25
49 7958 41
50 287 22
50 1964 32
50 3499 44
50 4688 25
50 4868 32
50 5994 39
50 8172 2
50 8908 34
50 9892 26
51 5915 4
51 7566 50
52 1303 13
52 3250 13
52 5949 4
52 9724 26
53 2416 31
53 3206 5
53 3376 24
53 5515 21
53 5812 11
54 827 43
54 5056 44
54 7293 30
54 8456 36
55 3315 27
55 4355 48
55 4465 12
55 4606 15
55 5081 21
55 5802 43
55 6610 31
55 7492 12
56 2927 50
56 3467 28
56 5144 47
56 5165 44
56 5370 4
56 5450 43
57 129 30
57 910 11
57 1817 27
57 1861 37
57 6523 38
58 189 26
58 1019 33
58 3095 48
58 5527 17
58 8107 50
59 981 22
59 8499 49
59 8564 23
59 9355 5
61 3651 23
61 5789 41
61 7897 23
61 8302 16
61 9083 46
62 4110 2
62 4871 45
62 5672 30
62 8001 43
62 8285 34
63 1266 33
63 2566 37
63 4288 27
64 627 18
64 4860 41
64 5126 22
65 758 34
65 3582 6
65 4432 31
65 6730 27
65 7408 20
65 8130 42
66 673 20
66 4372 4
66 4974 7
66 8795 35
66 8918 49
68 1534 7
68 5612 33
68 6030 35
68 6106 22
69 1736 0
69 2958 20
70 2925 1
70 5509 21
70 5742 1
70 6850 46
70 9251 15
70 9299 46
70 9659 11
71 415 4
71 1729 39
71 3507 38
71 3939 42
71 4180 22
71 5759 40
71 6104 48
71 6350 38
71 8591 31
71 8920 48
71 9265 1
72 1070 6
72 3167 35
72 3501 38
72 4220 38
73 123 20
73 1642 11
73 2689 0
73 3694 0
73 6887 36
74 95 1
74 2122 17
74 5022 42
74 5707 47
74 6955 25
75 2280 8
75 2371 26
75 3183 49
75 5643 15
75 6212 0
75 7399 42
75 9512 30
75 9939 31
76 174 34
76 1430 42
76 2129 33
76 3007 44
76 4459 26
76 5215 20
76 5644 18
77 2133 0
77 4083 19
77 5171 15
77 8492 49
78 5003 43
78 5631 5
78 7209 4
78 7702 40
78 8789 15
79 1199 50
79 2569 21
79 6253 13
79 6590 43
79 7517 29
79 7721 6
79 7722 12
80 2113 2
80 8263 0
80 9065 10
80 9302 27
80 9664 36
81 2322 38
81 3516 18
81 4885 9
81 9010 24
82 1764 22
82 4555 46
82 9155 40
82 9335 40
83 668 8
83 899 36
83 3174 32
83 5565 34
83 5813 27
83 6160 11
83 9721 24
84 1053 13
84 1560 13
84 5460 45
85 2625 14
85 3726 44
85 6180 18
85 9074 14
85 9821 34
86 508 30
86 2481 40
86 3772 31
86 4815 9
86 7423 20
87 5518 49
87 6086 10
87 6363 17
87 6980 15
87 8882 44
88 584 49
88 3711 35
88 3801 28
89 1063 44
89 7238 29
90 618 50
90 2359 2
90 6503 48
90 7174 27
90 7215 36
90 8105 35
90 8999 30
90 9922 5
91 1145 26
91 2413 24
91 4488 26
91 6490 0
92 794 33
92 5628 30
92 8746 47
92 9380 4
93 652 21
93 1107 0
93 1526 7
93 3272 0
93 4680 22
93 6621 1
94 723 46
94 1815 30
94 1967 8
94 4783 40
94 8720 5
95 894 41
95 3008 9
95 5518 37
95 6087 36
95 6923 5
95 8635 1
95 8795 3
95 9534 9
96 155 50
96 1409 27
96 1902 32
96 4746 41
96 7149 24
96 8625 24
96 9398 23
97 1371 13
97 4655 46
97 5999 20
97 9103 19
98 1065 9
98 3069 18
98 5589 49
98 6799 1
98 6931 46
98 9450 9
99 33 7
99 1936 5
99 3205 50
99 4129 31
99 4988 3
99 5547 19
99 7276 1
99 8061 25
99 8455 46
100 2159 12
100 4776 2
100 4918 46
100 5031 29
100 5732 23
100 8682 4
101 1150 17
101 2551 6
101 2615 16
101 2661 2
101 2737 39
101 4319 44
101 8102 49
101 8901 27
102 2429 4
102 5885 10
102 8050 45
102 9987 42
103 899 30
103 2330 30
103 2650 31
103 3275 23
103 4818 31
103 5611 1
103 6461 4
103 7859 29
103 8632 48
103 8944 36
103 9887 50
104 2787 18
104 7547 8
105 3076 45
105 7600 4
105 8143 20
105 9756 22
106 5233 19
106 6950 23
106 8413 48
106 8603 48
106 9973 32
107 153 1
107 967 25
107 3666 7
107 4749 47
107 7715 9
107 8104 11
107 8562 21
107 9204 36
108 2392 14
108 4261 21
108 4908 23
108 6839 2
108 8048 26
108 8161 17
108 9202 25
109 1756 50
109 3084 20
109 5875 20
109 6419 32
109 6918 22
109 7093 38
110 905 7
110 4487 3
110 4984 6
110 8884 14
111 1652 36
111 2539 16
111 6517 28
112 186 35
112 1516 17
112 8338 6
112 9220 24
113 1431 35
113 2487 0
113 9838 45
114 2366 28
114 2923 6
114 3791 48
114 5715 16
114 7474 40
115 1589 17
115 1671 10
115 2001 45
116 1864 14
116 4904 30
116 5951 32
116 6749 24
116 9701 34
117 1146 10
117 1360 7
118 239 25
118 1326 7
118 2303 47
118 5139 36
118 7256 30
118 8783 5
119 1826 3
119 3658 15
119 7248 23
120 1557 50
120 2166 12
120 5260 27
120 5736 2
120 8660 15
120 9419 1
121 3853 37
121 4003 23
121 4546 11
121 5205 38
121 5457 32
121 6331 48
121 8297 1
121 9346 49
122 5127 40
123 407 31
123 1678 43
123 9912 10
124 229 37
124 1827 20
124 2608 8
124 2909 25
124 3552 16
124 3631 9
124 3987 46
124 5528 43
124 8431 39
125 2938 8
125 4037 39
125 4483 35
126 123 33
126 3966 7
126 5752 44
126 6751 8
126 9392 7
127 2999 8
128 129 7
128 2441 17
128 3800 45
