500 1296
195 194
1 14 18
1 34 14
1 307 31
2 47 16
2 177 50
2 279 49
2 349 30
2 370 34
3 111 2
3 346 33
4 359 47
4 429 13
5 227 8
5 263 28
5 396 40
6 145 39
6 270 45
6 405 8
7 120 40
7 150 27
7 233 13
7 375 13
7 458 12
7 493 39
8 2 8
8 154 44
9 2 28
9 430 48
10 0 28
10 152 0
11 46 14
11 52 5
11 79 10
11 136 21
11 236 4
11 488 34
12 250 21
12 256 42
12 266 15
13 323 29
13 372 22
13 453 38
14 208 44
14 339 7
15 21 16
15 64 10
15 116 36
15 281 10
15 333 33
16 142 14
17 7 19
17 391 19
18 42 50
18 137 44
18 191 27
18 235 40
18 385 44
19 304 11
19 394 19
20 100 0
20 144 38
20 295 50
20 428 1
21 71 49
22 91 8
22 107 12
22 160 19
22 481 3
22 488 33
23 278 44
23 291 20
23 372 15
24 56 33
24 169 13
24 184 48
25 324 49
25 341 18
25 390 13
26 49 46
26 122 49
26 212 1
27 4 1
27 9 28
27 79 28
27 262 35
27 456 29
28 74 10
29 139 41
29 208 36
29 224 4
29 268 30
29 279 45
30 268 47
30 329 11
30 352 34
31 459 18
32 31 7
32 144 3
32 381 8
32 398 15
33 244 25
33 329 9
34 122 9
34 186 41
35 163 3
36 71 2
36 181 26
37 3 27
38 43 24
38 167 12
38 360 6
39 269 6
39 398 39
39 455 39
41 284 9
41 290 12
41 357 6
41 368 25
42 88 11
42 105 30
43 16 44
43 117 5
43 165 44
44 101 9
44 128 8
44 157 40
45 94 36
46 5 32
46 72 33
46 111 37
46 118 18
46 444 17
47 297 49
47 344 16
47 402 27
47 425 20
48 239 24
48 398 7
49 251 46
49 264 33
49 500 17
50 210 13
51 17 6
51 40 21
51 73 2
51 126 39
51 486 15
52 481 31
53 15 27
53 67 47
53 105 14
53 381 8
54 11 9
54 280 22
54 383 42
55 160 16
56 6 41
56 473 36
57 167 15
58 18 20
59 13 11
59 264 18
59 386 27
62 11 50
62 19 35
63 315 15
63 497 3
64 96 39
64 469 33
65 74 49
65 342 6
66 404 24
67 34 44
67 263 11
67 471 47
68 63 37
69 408 12
69 468 20
70 299 19
70 383 2
70 466 3
71 31 40
71 43 29
71 181 39
71 188 2
71 259 40
71 375 50
72 74 3
72 371 30
72 429 34
73 93 3
73 289 25
74 121 19
74 150 27
74 378 1
75 139 26
75 240 25
75 266 27
75 306 31
