501 5241
236 496
0 60 38
0 114 34
0 120 18
0 130 35
0 291 12
0 306 14
0 344 44
0 459 4
0 470 9
0 478 25
0 499 15
1 5 20
1 27 50
1 35 31
1 55 15
1 131 30
1 193 10
1 233 28
1 311 22
1 326 13
1 331 28
1 406 18
1 411 36
1 443 31
1 446 5
2 20 45
2 68 27
2 78 32
2 97 23
2 144 23
2 197 34
2 397 4
3 58 24
3 73 40
3 115 4
3 177 37
3 182 29
3 205 8
3 224 5
3 326 33
3 399 0
3 414 22
3 437 50
4 30 6
4 36 18
4 59 1
4 106 0
4 108 33
4 129 36
4 151 23
4 179 16
4 191 16
4 196 20
4 202 25
4 217 37
4 234 1
4 290 19
4 340 33
4 385 10
5 275 9
5 313 37
5 326 47
5 338 49
5 356 0
5 396 42
5 481 37
6 13 31
6 15 4
6 26 3
6 94 47
6 115 40
6 223 26
6 236 4
6 247 33
6 344 43
6 471 5
6 493 46
7 75 19
7 89 7
7 104 31
7 111 0
7 126 18
7 143 48
7 250 12
7 310 37
7 380 28
7 442 26
8 0 15
8 43 4
8 46 30
8 88 48
8 105 21
8 133 38
8 226 2
8 252 6
8 309 19
8 313 16
8 329 39
9 34 24
9 66 36
9 103 6
9 106 36
9 132 34
9 134 44
9 260 34
9 303 29
9 378 4
9 465 16
9 489 10
10 45 32
10 62 38
10 98 0
10 107 19
10 112 23
10 453 46
10 454 25
10 469 21
11 1 27
11 44 17
11 90 10
11 223 32
11 370 0
11 474 32
12 61 15
12 169 33
12 186 45
12 245 37
12 281 28
12 293 24
12 312 32
12 381 44
12 456 49
12 458 44
13 117 28
13 136 23
13 175 26
13 186 40
13 265 0
14 110 24
14 151 24
14 203 46
14 231 26
14 242 37
14 282 5
14 485 17
15 118 45
15 175 10
15 176 38
15 265 34
15 348 19
15 385 7
15 459 20
16 2 1
16 89 47
16 118 30
16 155 11
16 185 14
16 210 14
16 267 31
16 274 46
16 282 14
16 346 44
16 382 18
16 431 44
16 437 3
17 79 44
17 147 10
17 197 15
17 208 18
17 280 41
17 319 2
17 336 23
17 354 22
17 364 43
18 70 30
18 94 49
18 124 13
18 253 9
18 271 49
18 324 16
18 339 13
18 347 41
18 352 20
18 377 2
18 395 16
18 459 48
19 61 41
19 83 29
19 95 20
19 127 33
19 181 35
19 197 3
19 304 8
19 368 21
19 401 27
19 422 49
20 38 31
20 58 33
20 78 22
20 186 21
20 241 45
20 255 19
20 274 10
20 344 28
20 350 0
20 469 8
20 476 20
21 56 1
21 71 43
21 86 40
21 88 31
21 102 33
21 163 32
21 167 6
21 179 40
21 254 25
21 271 28
21 318 30
21 366 29
21 375 44
21 385 20
21 392 5
21 449 33
21 450 11
22 12 45
22 107 22
22 152 22
22 194 5
22 200 21
22 210 43
22 250 12
22 281 33
22 325 7
22 341 37
22 348 47
22 389 42
22 405 23
22 444 29
23 8 42
23 42 27
23 122 18
23 157 8
23 162 7
23 240 24
23 376 26
23 434 44
24 12 37
24 36 43
24 100 4
24 113 11
24 115 1
24 168 21
24 314 6
24 325 35
24 347 9
25 94 10
25 98 26
25 121 49
25 235 42
25 288 4
25 302 38
25 306 50
25 417 42
25 431 37
26 49 5
26 86 13
26 106 12
26 138 36
26 201 32
26 234 15
26 262 21
26 361 8
26 371 12
26 397 3
26 419 25
27 10 4
27 146 15
27 160 30
27 245 39
27 283 30
27 291 40
27 318 0
27 369 31
27 430 45
28 2 24
28 187 19
28 256 21
28 319 0
28 468 14
29 96 17
29 100 41
29 155 8
29 217 46
29 265 15
29 273 28
29 324 5
29 330 32
29 334 13
29 386 36
29 495 5
30 14 1
30 27 46
30 62 9
30 116 23
30 201 33
30 216 37
30 375 20
31 8 34
31 42 45
31 90 3
31 114 41
31 115 2
31 160 40
31 168 29
31 230 30
31 372 22
31 402 5
31 408 1
31 444 27
31 448 14
31 452 33
31 453 35
32 101 6
32 109 37
32 175 1
32 219 18
32 265 43
32 266 6
32 345 4
32 373 10
32 386 17
32 418 34
32 449 29
32 456 50
32 489 25
33 1 47
33 55 16
33 81 48
33 91 44
33 121 33
33 198 4
33 297 35
33 300 35
33 411 45
33 484 16
34 1 28
34 71 6
34 178 34
34 227 17
34 263 13
34 312 50
34 409 33
34 445 7
34 499 29
35 3 9
35 60 10
35 84 24
35 120 11
35 247 14
35 302 5
35 348 34
35 353 23
35 378 36
35 496 38
36 23 25
36 64 19
36 169 7
36 185 0
36 200 13
36 262 7
36 267 40
36 430 33
36 446 28
36 497 21
37 9 5
37 72 34
37 88 46
37 259 35
37 282 10
37 304 47
37 307 18
37 349 2
37 398 31
37 453 25
37 479 10
38 79 28
38 149 38
38 170 1
38 174 41
38 182 25
38 307 34
38 333 22
38 431 11
38 465 49
39 40 37
39 62 1
39 68 36
39 114 1
39 121 26
39 161 24
39 194 45
39 201 47
39 219 33
39 235 44
39 316 12
39 433 17
40 51 43
40 114 11
40 150 48
40 197 44
40 253 34
40 295 7
40 337 49
40 386 46
40 390 44
40 414 14
40 443 7
40 481 4
41 126 2
41 199 24
41 207 10
41 208 2
41 209 7
41 342 34
41 354 7
41 407 15
41 453 13
42 25 33
42 76 6
42 140 24
42 237 42
42 265 33
42 318 23
42 404 10
42 410 45
42 421 6
42 423 45
42 436 14
43 15 47
43 99 13
43 118 41
43 125 13
43 137 36
43 196 46
43 206 35
43 240 5
43 304 36
43 385 49
43 457 35
43 487 38
43 489 27
44 82 49
44 96 0
44 151 10
44 170 40
44 199 6
44 221 32
44 222 21
44 238 46
44 288 47
44 309 3
