500 2491
156 49
0 72 29
0 413 5
0 493 26
0 499 34
1 122 31
1 150 25
1 184 2
1 415 40
2 169 27
2 184 46
2 295 46
2 297 36
2 371 3
2 464 38
2 477 11
3 200 1
4 201 30
4 390 9
4 466 3
5 28 32
5 176 25
5 250 10
5 272 9
5 397 24
5 440 19
5 480 36
5 497 18
6 175 13
7 138 43
7 159 27
7 351 1
7 385 30
8 12 17
8 84 38
8 159 5
8 404 11
9 215 35
9 293 23
9 342 33
9 459 13
10 99 45
10 146 45
10 298 41
10 452 25
11 23 35
11 155 38
11 191 13
11 319 6
11 416 41
11 457 13
11 485 6
12 23 8
12 72 22
12 92 45
12 197 47
12 268 0
12 274 13
12 437 11
12 494 19
13 356 37
14 11 28
14 23 20
14 377 11
14 378 29
15 247 27
15 295 26
15 316 1
15 321 26
15 475 45
16 95 19
16 200 39
16 370 41
16 477 17
16 478 11
17 92 46
17 165 32
17 437 5
18 131 5
18 179 20
18 290 35
18 402 42
18 417 50
18 497 20
19 88 46
19 107 9
19 124 4
19 341 41
19 361 22
19 404 6
20 9 13
20 136 11
20 158 6
20 187 5
20 239 7
21 59 37
21 187 14
21 286 31
21 314 49
21 320 27
21 335 12
21 368 25
21 406 20
22 36 45
22 166 23
22 187 18
22 210 37
23 117 34
23 209 46
23 439 22
24 113 34
24 115 4
24 190 13
24 330 21
24 477 44
25 41 5
25 85 5
25 425 4
26 140 29
26 489 42
27 107 33
27 111 8
27 174 8
27 297 10
27 363 48
27 390 36
27 496 10
28 0 19
28 281 4
28 402 7
29 211 11
29 333 8
29 377 14
29 380 45
30 65 43
30 245 7
30 324 41
30 360 25
30 498 4
31 34 29
31 209 2
31 374 39
31 461 17
31 462 22
31 492 45
32 58 39
32 87 30
32 228 45
33 69 0
33 303 43
33 328 33
33 412 26
34 142 18
34 158 25
34 260 33
35 62 30
35 159 35
35 195 24
35 337 22
35 357 45
35 426 49
35 441 31
35 471 38
35 489 1
36 177 13
36 289 3
37 28 21
37 201 37
37 278 22
37 282 27
37 354 8
37 379 41
38 2 4
38 52 15
38 100 36
38 212 43
38 279 27
38 447 1
38 498 38
39 142 47
39 240 39
39 271 9
39 360 28
39 385 46
40 150 9
40 155 24
40 156 49
40 159 24
40 331 25
41 158 0
41 163 23
41 357 3
42 35 36
42 106 27
42 209 36
42 417 38
42 433 50
