500 1297
499 151
0 277 33
0 334 8
0 454 31
1 117 36
2 258 13
3 30 12
3 345 19
4 391 14
4 408 6
5 143 27
5 237 14
5 446 9
6 196 31
6 296 48
7 344 24
7 410 13
8 3 47
8 127 40
9 279 30
10 197 20
10 319 45
10 421 25
11 132 44
12 249 16
12 291 50
13 84 22
13 123 8
14 78 5
14 461 45
15 143 12
15 188 49
15 279 33
15 292 39
15 336 33
16 22 6
16 110 42
16 199 37
16 294 39
17 125 42
17 215 17
18 11 7
18 94 14
19 96 17
19 111 42
19 285 11
19 321 33
20 78 29
20 115 48
21 72 10
21 186 1
21 214 45
21 255 37
21 334 0
23 154 16
24 245 38
24 271 3
24 359 25
25 226 11
25 377 29
26 238 1
26 445 7
27 74 14
27 176 35
27 262 13
27 446 1
27 472 45
28 7 25
28 29 35
28 37 49
28 121 41
28 361 1
28 369 28
28 385 5
30 37 20
30 54 26
30 330 39
30 362 0
30 400 7
31 53 38
31 115 41
31 396 6
32 96 7
32 128 28
32 435 31
32 465 45
32 468 28
33 57 47
33 156 38
33 350 7
33 455 37
34 101 17
34 220 31
35 366 41
36 3 1
36 147 29
38 45 40
38 418 25
38 420 27
38 469 43
38 475 20
39 123 24
39 300 44
40 34 25
40 178 40
40 323 22
40 348 3
40 364 17
41 386 12
43 408 33
44 112 15
44 137 46
44 163 15
44 394 27
44 449 16
45 42 50
45 83 16
45 133 49
45 219 39
46 331 8
46 406 49
46 420 12
46 457 43
47 11 46
47 333 6
47 416 15
48 261 18
49 193 5
49 436 15
49 465 10
50 8 42
50 61 36
50 145 15
50 188 4
50 367 43
50 382 16
51 50 28
51 63 50
51 91 47
51 195 35
51 319 18
52 24 14
52 111 40
54 4 33
54 390 19
55 284 7
57 4 10
57 115 46
57 199 35
57 296 19
58 149 40
58 387 23
59 345 34
59 384 10
59 460 0
60 0 28
60 7 3
60 112 22
60 171 2
60 233 28
61 247 18
61 478 16
62 146 0
62 159 11
63 431 26
64 56 20
64 128 42
65 169 48
65 403 29
65 479 20
66 77 26
66 247 30
66 332 35
67 84 39
67 89 15
67 222 19
67 301 2
67 389 20
67 483 41
68 382 31
69 18 39
69 37 6
69 387 7
70 81 10
70 113 8
71 410 22
71 411 12
73 261 50
74 169 31
74 238 34
74 410 36
74 429 5
75 9 40
76 52 9
76 310 25
77 426 3
78 449 44
79 68 26
79 398 35
80 38 1
80 73 0
81 297 25
81 404 21
81 488 9
82 44 43
82 361 6
83 56 36
83 174 15
83 325 30
83 483 21
84 53 49
84 368 49
84 449 40
85 94 28
85 424 13
86 159 18
86 244 46
86 303 36
86 329 28
86 349 8
86 390 38
86 464 15
87 492 48
88 318 11
90 96 28
90 251 27
90 265 16
90 381 10
90 435 47
91 35 20
91 40 14
91 237 21
92 210 4
92 294 48
93 53 10
93 129 7
93 365 20
93 446 10
94 103 17
94 211 45
94 261 8
94 341 48
94 432 0
95 271 23
95 286 41
95 437 5
96 204 31
97 176 7
97 289 42
97 388 25
98 283 5
99 120 32
99 378 45
99 451 17
100 91 25
100 145 35
101 170 2
101 377 20
101 438 39
101 464 47
102 36 15
102 147 38
102 154 29
103 79 48
103 151 32
104 60 30
104 195 2
104 262 47
104 499 42
105 384 23
106 324 11
106 337 13
109 13 6
109 51 43
109 177 38
109 179 3
109 370 14
110 270 15
111 253 3
112 139 2
112 168 46
112 330 25
113 27 43
113 37 29
113 117 45
113 234 24
114 372 0
115 67 46
115 93 3
115 222 26
115 377 32
115 407 4
115 490 18
116 92 2
116 166 22
116 293 13
116 469 0
117 438 33
119 185 15
120 49 24
120 79 42
120 329 12
121 167 27
121 280 1
121 497 35
122 17 4
122 285 19
123 193 6
123 479 42
124 164 48
124 204 31
124 307 37
125 15 10
125 138 6
125 256 14
127 10 8
127 205 42
127 341 21
128 256 12
129 29 10
129 249 10
129 294 46
130 84 1
130 121 38
130 203 18
130 237 46
130 304 44
130 424 50
131 212 16
131 246 25
131 308 38
131 449 15
132 96 29
132 198 48
132 250 44
132 354 24
133 259 27
133 289 41
133 410 31
134 94 38
134 200 17
134 236 18
135 485 15
136 211 48
136 230 42
136 233 38
136 327 34
136 491 19
137 61 50
137 151 33
137 305 3
138 266 18
139 105 25
139 150 34
139 481 3
140 300 15
141 437 40
141 461 7
142 430 10
143 22 22
143 359 0
143 441 5
144 408 30
144 485 12
145 357 37
146 311 2
147 244 3
147 309 15
147 318 10
148 122 1
148 301 1
148 381 43
148 417 14
148 447 9
148 464 24
149 17 10
149 410 7
150 422 30
151 384 8
151 391 39
152 232 25
152 395 43
152 478 19
153 27 32
153 274 42
154 202 19
154 330 39
154 441 19
155 82 48
155 127 30
155 329 9
155 398 13
156 24 23
156 346 10
156 362 11
156 489 15
157 283 11
157 447 50
157 490 45
158 398 17
159 144 8
160 341 50
161 205 17
161 310 15
162 61 25
162 197 39
163 238 16
163 281 24
164 156 31
166 76 17
166 142 39
167 245 50
167 346 29
167 496 31
168 195 20
168 327 6
168 392 33
169 2 39
169 310 32
171 47 7
171 88 12
171 187 46
171 408 16
171 499 37
172 0 27
172 235 5
172 363 48
172 495 20
173 272 43
173 280 40
174 69 38
174 79 49
174 282 17
174 284 17
175 70 17
175 218 50
175 333 0
176 41 18
176 150 36
176 179 32
176 224 7
177 43 23
177 84 25
177 111 4
177 210 14
177 436 12
178 248 43
178 347 36
178 354 11
179 119 50
179 207 13
179 330 48
179 344 4
179 474 23
180 205 33
180 447 30
180 492 16
181 22 27
181 101 50
181 121 50
181 438 40
181 457 46
182 20 33
182 236 30
182 331 8
182 359 40
182 383 48
182 432 2
183 234 42
183 411 0
183 450 34
184 472 11
185 92 43
186 6 14
186 240 9
186 319 16
187 13 4
187 252 39
187 352 3
188 313 45
188 415 42
189 59 32
190 289 45
190 329 33
192 20 21
192 26 19
192 329 22
192 406 15
192 494 8
193 92 9
194 140 2
194 249 7
194 363 31
195 396 1
195 465 25
196 353 45
197 46 19
197 173 33
197 451 19
198 49 21
198 151 24
198 336 30
199 24 7
199 105 39
199 270 17
199 339 2
200 172 37
200 222 2
200 406 46
200 432 48
200 467 27
201 46 17
201 499 29
202 272 49
202 382 46
203 26 22
203 93 6
203 143 44
203 316 2
203 372 1
203 415 46
204 48 45
205 132 7
205 149 8
205 196 33
205 337 50
205 406 6
206 211 24
206 229 16
207 24 23
207 31 25
208 477 37
209 9 7
209 106 7
209 299 34
209 352 50
209 358 31
209 412 49
210 83 28
210 89 11
210 336 13
210 359 50
210 434 47
210 496 35
211 227 31
213 189 6
214 297 1
214 322 38
214 366 39
214 422 41
214 449 45
215 15 33
215 149 2
215 180 12
215 181 9
215 443 32
216 155 2
216 346 16
216 355 3
217 302 23
217 458 43
218 126 34
218 146 22
218 208 6
219 351 6
220 76 36
220 84 29
220 490 44
221 248 24
221 442 45
221 444 22
221 484 27
222 176 9
222 256 46
222 299 29
222 305 37
222 339 6
222 354 22
223 120 32
224 28 39
224 222 12
224 293 47
224 460 0
225 77 9
225 347 11
226 73 40
228 131 2
228 155 35
228 276 14
228 289 1
228 459 23
229 15 30
229 206 3
230 49 36
230 57 6
230 228 18
231 2 37
231 36 26
231 234 14
231 256 9
231 481 31
231 494 38
232 118 4
232 153 41
232 246 37
232 270 35
232 306 36
232 335 30
233 46 16
234 103 48
235 308 4
235 379 48
235 442 42
236 29 2
236 211 32
237 394 50
238 195 3
238 476 11
239 148 26
239 151 35
239 162 47
239 471 11
240 74 11
240 403 28
240 429 31
241 469 45
242 159 1
242 281 4
242 346 20
243 131 42
243 383 24
243 433 34
243 461 19
244 308 32
244 381 15
244 400 42
245 104 30
245 322 44
245 363 9
245 472 38
246 79 1
246 426 50
247 181 32
247 227 35
248 31 0
248 287 22
248 449 9
249 261 21
250 31 40
250 37 46
250 178 49
250 237 35
250 449 47
250 472 30
251 267 0
251 373 0
252 132 1
253 157 30
253 217 23
253 316 26
253 397 42
253 458 5
254 37 11
254 77 37
254 223 37
255 438 35
256 477 39
257 136 33
257 171 23
257 214 38
257 242 48
257 388 49
258 493 13
259 261 32
259 294 7
259 346 7
260 112 13
260 304 41
260 426 37
261 26 0
261 155 33
261 359 21
261 406 12
262 419 13
263 269 40
263 354 45
264 153 33
264 229 32
264 340 22
264 346 20
264 481 41
264 482 35
265 198 27
265 305 16
266 178 23
267 170 18
268 92 47
268 105 48
269 64 41
269 465 45
270 90 7
270 283 34
270 351 11
271 65 34
271 367 33
272 277 3
273 259 32
273 320 49
273 395 12
273 477 19
274 26 37
274 114 15
274 115 31
274 149 7
274 336 29
274 396 10
275 122 43
275 372 19
276 445 35
277 380 36
277 487 45
278 228 15
278 317 20
278 411 13
278 486 23
279 55 26
279 277 10
279 469 14
280 121 24
280 337 28
280 401 26
282 89 19
282 466 48
283 132 4
284 437 43
285 98 17
285 190 28
285 281 35
285 449 21
286 42 10
286 364 30
286 397 10
287 170 24
287 351 26
287 369 50
288 46 24
288 88 15
288 123 21
288 421 1
289 136 3
289 412 28
290 144 22
290 200 33
291 68 44
291 83 41
291 486 19
292 56 28
292 188 12
292 430 16
294 42 11
294 327 46
294 329 27
294 358 7
295 152 10
295 327 32
295 353 36
295 357 8
296 160 11
297 162 5
297 216 6
297 313 39
297 444 6
298 79 36
298 484 43
298 497 0
299 200 32
299 444 24
300 290 27
300 317 15
300 491 49
301 62 7
301 314 44
301 464 37
302 43 8
302 248 39
302 373 4
302 435 13
302 467 29
303 424 2
303 430 7
303 454 42
304 409 16
305 1 48
305 17 13
305 106 27
305 453 32
306 20 18
306 241 16
306 424 49
306 432 28
307 210 6
307 217 39
308 496 8
309 19 9
309 53 24
309 421 28
309 452 27
310 315 11
310 400 47
311 4 24
311 270 10
311 279 13
311 433 26
312 322 1
312 419 35
312 472 0
312 489 7
313 89 46
313 351 8
313 417 47
314 3 44
314 101 39
314 376 44
315 247 45
315 296 24
317 9 22
317 392 12
318 362 30
318 474 44
319 242 20
319 326 13
319 387 49
319 468 22
320 299 14
321 82 27
